sys_RespNum,Version,Q23_Fixed1,Q23_Fixed1_none,Q23_Fixed2,Q23_Fixed2_none,Q23_Random1,Q23_Random1_none,Q23_Random2,Q23_Random2_none,Q23_Random3,Q23_Random3_none,Q23_Random4,Q23_Random4_none,Q23_Random5,Q23_Random5_none,Q23_Random6,Q23_Random6_none,Q23_Random7,Q23_Random7_none,Q23_Random8,Q23_Random8_none,Q23_Random9,Q23_Random9_none,Q23_Random10,Q23_Random10_none,Q23_Random11,Q23_Random11_none,Q23_Random12,Q23_Random12_none
1,1,2,1,2,1,3,1,3,1,2,1,3,2,2,1,2,1,1,1,1,1,3,1,1,1,3,1,3,1
2,2,3,1,2,1,1,1,2,1,2,1,3,2,2,1,3,1,2,1,2,1,3,1,2,1,1,1,2,2
3,3,3,2,2,2,2,2,3,2,3,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,2,2,1,2
4,4,3,2,2,2,3,2,3,2,3,2,3,2,3,2,3,2,2,2,1,2,1,2,1,2,2,2,1,2
5,5,3,2,2,2,1,2,2,2,2,2,1,2,3,2,3,2,1,2,3,2,3,2,3,2,2,2,3,2
8,8,3,2,1,2,2,1,3,2,3,2,3,2,3,2,3,2,2,2,1,2,1,2,2,2,3,2,1,2
11,11,3,2,1,2,2,2,3,2,2,2,1,2,3,2,2,2,2,2,3,2,3,2,1,2,2,2,1,2
12,12,3,2,2,2,3,2,3,2,1,2,3,2,2,2,3,2,1,2,3,2,3,2,2,2,3,2,3,2
13,13,2,2,2,2,3,2,2,2,2,2,1,2,3,2,1,2,1,2,2,2,1,2,1,2,1,2,2,2
14,14,3,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1
15,15,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,1,2,2,2,2,2,1,2,2,2,3,2
16,16,1,2,3,2,1,2,1,2,2,2,3,2,2,2,2,2,3,2,1,2,2,2,3,2,2,2,2,2
17,17,2,1,3,1,1,1,1,1,3,1,2,1,3,1,1,1,1,1,1,1,3,1,2,1,2,1,3,1
19,19,3,2,2,1,3,2,3,2,1,2,2,2,3,1,3,2,3,2,2,1,3,2,3,2,1,2,2,2
20,20,1,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,2,2
22,22,3,2,2,2,2,2,2,2,3,2,1,2,2,2,3,2,3,2,2,2,3,2,2,2,1,2,2,2
23,23,1,2,3,2,1,2,1,2,3,2,3,2,1,2,2,2,3,2,1,2,1,2,2,2,1,2,3,2
24,24,3,2,2,2,3,1,1,1,1,1,3,2,1,2,3,2,3,2,3,2,2,2,1,2,1,2,3,2
26,26,1,2,3,2,2,2,1,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,2,1,2
28,28,3,2,2,2,2,2,1,2,1,2,1,2,3,2,2,2,3,2,2,2,2,2,2,2,1,2,1,2
29,29,2,2,2,2,3,2,1,2,1,2,1,2,2,2,1,2,3,2,1,2,1,2,3,2,3,2,3,2
30,30,3,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,1,2
31,31,2,2,3,2,3,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,3,2,2,2
32,32,2,1,3,2,1,1,2,2,2,1,2,1,3,1,3,1,1,2,3,2,3,2,1,1,3,1,1,2
33,33,1,2,1,2,2,2,3,2,1,2,3,2,2,2,1,2,2,2,3,2,3,2,3,2,2,2,2,2
37,37,2,1,3,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,3,1,3,1,3,1
39,39,3,2,2,2,3,2,2,2,3,2,1,2,3,2,2,2,2,2,3,2,3,2,2,2,3,2,2,2
40,40,1,2,3,2,1,2,2,2,3,2,3,2,1,2,3,2,3,2,3,2,3,2,2,2,3,2,2,2
41,41,3,2,2,2,3,2,1,2,3,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,3,2,3,2
43,43,3,2,2,2,1,2,2,2,1,2,3,2,1,2,2,2,2,2,1,2,3,2,2,2,2,2,3,2
44,44,3,2,2,2,3,2,3,2,3,2,1,2,3,2,3,2,2,2,2,2,1,2,2,2,3,2,2,2
46,46,3,2,3,2,3,2,1,2,3,2,3,2,3,2,3,2,2,2,1,2,3,2,1,2,1,2,2,2
47,47,1,1,3,1,3,1,2,1,2,1,3,1,2,1,1,1,1,1,1,1,1,1,3,1,3,1,2,1
48,48,3,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,3,2,2,2,1,2,2,2
49,49,3,2,2,2,3,2,2,2,1,2,1,2,3,2,3,2,3,2,1,2,1,2,3,2,1,2,1,2
50,50,3,2,3,2,2,2,3,2,1,2,3,2,1,2,1,2,2,2,2,2,2,2,3,2,2,2,3,2
53,53,3,2,2,2,1,2,3,2,1,2,1,2,2,2,1,2,3,2,1,2,3,2,2,2,3,2,2,2
56,56,2,2,1,2,1,2,1,2,2,2,2,2,1,2,3,2,1,2,3,2,1,2,1,2,3,2,1,2
57,57,2,1,1,1,1,1,3,1,1,1,2,1,1,1,3,1,1,1,3,1,2,2,3,1,2,1,2,2
61,61,3,2,1,2,2,2,1,2,3,2,2,2,2,2,1,2,2,2,1,2,3,2,1,2,3,2,2,2
62,62,3,2,2,2,2,2,1,2,1,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2
63,63,3,2,2,2,2,2,1,2,2,2,1,2,2,2,3,2,2,2,3,2,2,2,2,2,1,2,3,2
65,65,3,1,2,2,2,2,1,1,2,1,2,1,2,1,2,2,2,2,3,2,1,1,3,1,2,2,2,2
66,66,2,1,1,1,2,1,2,1,1,1,3,1,3,1,3,1,2,1,1,1,3,1,2,1,3,1,1,1
68,68,3,2,2,2,1,2,3,2,3,2,3,2,3,2,2,2,2,2,1,2,3,2,1,2,1,2,3,2
69,69,1,1,3,2,2,1,2,1,2,2,1,1,1,1,3,1,2,2,3,1,1,2,3,2,3,2,3,1
70,70,3,2,2,2,2,2,1,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,1,2,2,2,1,2
73,73,2,2,1,2,2,2,3,2,2,2,1,2,2,2,3,2,2,2,1,2,2,2,2,2,2,2,3,2
82,82,3,2,2,2,3,2,3,2,3,2,3,2,2,2,2,2,1,2,1,2,2,2,2,2,3,2,2,2
84,84,3,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,1,2,3,2,2,2,1,2,3,2,2,2
85,85,3,2,3,2,2,2,1,2,2,2,1,2,3,2,3,2,1,2,3,2,1,2,1,2,2,2,2,2
88,88,3,2,3,2,1,2,2,2,3,2,2,2,1,2,1,2,3,2,3,2,2,2,3,2,3,2,3,2
89,89,3,2,2,2,1,2,1,2,3,2,3,2,3,2,3,2,3,2,1,2,1,2,3,2,3,2,3,2
90,90,3,2,3,2,1,2,2,2,3,2,3,2,1,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2
91,91,3,2,2,2,3,2,1,2,1,2,3,2,3,2,3,2,1,2,3,2,2,2,3,2,1,2,3,2
92,92,3,1,3,2,3,1,2,2,1,1,1,2,2,2,1,2,3,1,1,2,1,2,2,2,2,2,2,2
93,93,3,2,3,2,1,2,3,2,2,2,2,2,1,2,2,2,1,2,3,2,3,2,1,2,1,2,2,2
96,96,3,2,2,2,3,2,1,2,3,2,2,2,3,2,2,1,3,2,2,2,2,2,1,2,1,2,1,2
98,98,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,1,2,3,2,1,2
99,99,2,1,2,2,2,1,1,1,3,1,2,2,3,2,1,1,1,1,2,1,2,1,1,1,2,2,3,1
100,100,2,2,1,2,1,2,1,2,3,2,3,2,1,2,2,2,1,2,2,2,1,2,1,2,1,2,1,2
101,101,3,2,2,2,3,2,2,2,2,2,1,1,3,2,1,2,2,2,2,1,1,2,1,2,2,2,3,2
105,105,3,2,2,2,3,2,1,2,1,2,2,2,3,2,2,2,3,2,3,2,2,2,3,2,2,2,1,2
106,106,3,1,2,1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,2,1,2,1
107,107,3,2,2,2,2,2,2,2,2,1,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2
108,108,3,1,2,2,3,2,3,2,3,2,2,2,1,2,1,2,2,2,2,2,1,2,3,2,1,2,3,1
109,109,3,2,1,2,1,2,1,2,2,2,3,2,3,2,1,2,1,2,2,2,2,2,3,2,1,2,1,2
111,111,3,2,2,2,1,2,3,2,2,2,3,2,2,2,3,2,1,2,2,2,1,2,2,2,1,2,3,2
113,113,3,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,3,2,3,1,1,2,3,2,3,2,2,1
116,116,3,2,1,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,3,2,1,2,2,2,2,2
117,117,3,2,2,2,3,2,3,2,3,2,2,2,1,2,1,2,1,2,2,2,3,2,2,2,3,2,3,2
119,119,3,2,2,2,3,2,1,2,3,2,3,2,1,2,2,2,3,2,2,2,1,2,1,2,1,2,3,2
121,121,1,1,2,1,1,1,2,1,3,1,3,1,2,1,2,1,3,1,3,1,1,1,2,1,2,1,2,1
122,122,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,1,2,3,2,2,2,1,2,2,2,2,2
126,126,1,1,1,1,2,1,2,1,3,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,1
127,127,3,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,3,2,3,2,3,2,2,2
129,129,2,1,2,1,2,2,2,1,3,2,2,2,1,1,2,1,1,2,2,2,3,1,3,1,2,2,1,2
130,130,3,2,2,2,1,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,3,2,3,2,3,2,2,2
131,131,3,1,2,2,1,1,2,1,1,2,2,2,3,2,1,2,1,2,3,2,1,1,2,1,3,2,1,1
135,135,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,3,2,3,2,2,2,2,2,1,2
136,136,3,1,2,2,3,1,3,1,2,1,1,1,2,2,1,1,3,1,3,2,2,1,2,1,2,1,3,1
138,138,3,2,2,2,3,2,2,2,2,2,1,2,3,2,3,2,1,2,2,2,1,2,2,2,2,2,3,2
140,140,3,2,2,1,2,2,1,2,3,1,2,1,1,1,2,2,3,2,2,2,1,1,2,1,1,1,1,2
142,142,1,2,2,2,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2
143,143,3,2,3,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,3,2
144,144,2,2,1,2,3,2,2,2,1,2,1,2,3,2,1,2,2,2,2,2,2,2,1,2,3,2,3,2
145,145,3,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2,1,2,3,2,3,2
146,146,3,2,2,2,2,2,2,2,3,2,2,2,3,2,1,2,2,2,1,2,3,2,3,2,1,2,3,2
149,149,1,2,3,2,2,2,1,2,2,2,1,2,3,2,2,2,2,2,1,2,2,2,1,2,3,2,1,2
151,151,3,2,2,2,2,2,2,2,1,2,1,2,1,2,3,2,3,2,1,2,2,2,2,2,3,2,1,2
152,152,3,2,2,2,2,2,3,2,1,2,3,2,2,2,2,2,1,2,1,2,3,2,1,2,1,2,1,2
153,153,3,1,2,1,1,1,1,1,3,1,3,1,1,1,2,1,2,1,3,1,1,1,1,1,3,1,2,1
155,155,2,2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,3,2,1,2,1,2,2,2,1,2
156,156,3,2,2,2,3,2,3,2,2,2,2,2,3,2,1,1,3,2,3,2,1,1,3,2,2,2,3,2
157,157,1,2,3,2,3,2,3,2,3,2,3,2,3,2,2,2,3,2,1,2,3,2,2,2,1,2,3,2
158,158,3,2,2,2,3,2,2,2,2,2,3,2,3,2,1,2,2,2,1,2,2,2,1,2,3,2,3,2
159,159,3,2,1,2,2,2,3,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,3,2,2,2,3,2
160,160,2,2,2,2,2,2,2,2,2,2,3,2,3,1,2,2,3,2,3,2,1,2,2,1,3,1,1,1
161,161,1,2,1,2,2,2,1,2,1,2,3,2,3,2,1,2,1,2,1,2,1,2,3,2,3,2,2,2
162,162,3,1,2,1,3,1,3,1,2,1,2,1,2,1,2,1,3,1,3,1,1,1,2,1,3,1,2,1
164,164,3,1,2,1,2,1,3,1,1,1,3,1,1,1,1,2,3,1,3,1,3,2,3,1,1,1,2,2
165,165,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,3,2,2,2,2,2,1,2,1,2,3,2
167,167,2,2,2,2,2,2,2,2,3,2,3,2,1,2,3,2,3,2,3,2,1,2,2,2,3,2,3,2
169,169,2,2,2,2,1,2,3,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,2
170,170,3,2,2,2,3,2,3,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2,2,2
171,171,3,2,2,2,2,1,2,2,3,2,2,2,3,2,3,2,2,2,1,2,2,2,1,2,1,2,2,2
172,172,3,2,1,2,3,2,3,2,3,2,1,2,1,2,3,2,1,2,1,2,3,2,2,2,3,2,1,2
173,173,3,1,1,2,1,1,2,1,1,1,2,1,3,2,3,2,2,1,3,1,2,1,2,1,1,2,3,1
174,174,3,2,2,2,3,2,3,2,1,2,2,2,1,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2
177,177,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,3,2,2,2
178,178,2,1,2,1,2,1,3,1,2,1,3,1,1,1,3,1,3,1,3,1,1,1,3,1,3,1,2,1
179,179,3,2,2,2,1,2,3,2,3,2,2,2,2,1,2,2,3,2,1,2,1,2,2,2,3,2,2,2
182,182,1,2,3,2,1,2,1,2,3,2,3,2,2,2,1,2,3,2,2,2,3,2,1,2,2,2,2,2
183,183,3,2,2,2,1,2,3,1,1,2,1,2,3,2,2,2,3,2,3,2,3,2,3,2,1,2,1,2
184,184,1,2,3,2,3,2,1,2,3,2,1,2,2,2,3,2,1,1,2,1,3,1,3,1,3,2,2,1
186,186,3,2,2,2,1,2,1,2,1,2,3,2,1,2,2,2,2,2,1,2,3,2,2,2,3,2,2,2
187,187,3,2,3,2,2,2,3,2,3,2,1,2,3,2,1,2,3,2,1,2,1,2,3,2,3,2,1,2
188,188,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,3,2,3,2,1,2,2,2,1,2,2,2
189,189,3,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,3,2,1,2,2,2
191,191,3,2,3,2,1,2,3,2,3,2,1,2,3,2,1,1,2,1,2,2,2,2,2,1,1,2,2,1
193,193,3,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,3,2,1,2,3,2,2,2
196,196,2,2,2,2,1,2,2,2,1,2,1,2,1,2,3,2,2,2,3,2,3,2,3,2,1,2,3,2
197,197,2,1,2,2,1,2,1,2,3,2,2,1,1,1,1,2,2,2,1,2,1,2,3,2,1,2,3,2
198,198,3,2,2,2,3,2,1,2,2,2,3,2,2,2,1,2,3,2,2,2,1,2,3,2,1,2,1,2
200,200,3,2,3,2,3,2,1,2,3,2,3,2,1,2,3,2,1,2,2,2,2,2,3,2,3,2,2,2
203,203,2,2,1,2,3,2,1,2,3,2,1,2,2,2,2,2,1,2,1,2,1,2,3,2,3,2,3,2
204,204,3,1,2,1,1,1,3,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1
205,205,3,2,2,2,1,2,1,2,2,2,3,2,1,2,1,2,3,2,1,2,2,2,3,2,1,2,3,2
206,206,2,2,1,2,1,2,2,2,2,2,1,2,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2
207,207,3,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,1,2,3,2,1,2,2,2,1,2
210,210,1,1,3,2,2,1,2,1,3,1,1,1,1,1,3,1,3,1,3,1,3,1,1,2,2,2,1,1
213,213,3,2,2,2,1,2,2,2,3,2,1,2,3,2,1,2,3,2,1,2,1,2,3,2,2,2,2,2
215,215,3,2,2,2,1,1,3,2,2,2,2,2,3,2,3,2,3,2,3,2,2,2,2,2,2,2,3,2
216,216,3,2,2,2,1,2,1,2,3,2,1,2,1,2,1,2,1,2,2,2,2,2,1,2,3,2,3,2
217,217,2,2,3,2,2,2,2,2,1,2,2,2,1,2,1,2,1,2,2,2,3,2,3,2,2,2,2,2
218,218,2,1,2,1,1,2,1,1,2,1,3,1,2,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2
219,219,1,1,3,2,1,1,2,1,2,1,3,1,2,1,2,1,3,1,1,1,2,2,2,1,3,1,1,2
221,221,1,1,1,2,1,1,3,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2
222,222,3,1,3,1,2,1,1,1,2,1,1,2,3,1,2,1,3,1,1,2,1,2,1,1,1,1,2,2
225,225,3,1,2,2,2,1,3,1,1,1,3,2,1,1,1,1,1,2,2,1,2,2,3,2,2,1,3,1
227,227,3,2,2,2,1,2,2,2,1,2,2,2,3,2,2,2,3,2,2,2,1,2,3,2,2,2,3,2
228,228,2,2,1,2,3,2,3,2,2,2,1,2,1,2,3,2,3,2,2,2,3,2,1,2,2,2,3,2
229,229,1,1,3,1,1,2,3,1,2,1,1,1,3,1,1,1,3,1,1,1,2,1,1,1,3,1,3,1
232,232,2,2,2,2,3,2,1,2,3,2,2,2,3,2,2,2,3,2,3,2,1,2,2,2,1,2,1,2
233,233,3,2,3,2,3,2,1,2,1,2,3,2,2,1,3,2,2,1,2,2,2,2,2,1,2,2,1,2
234,234,3,2,3,2,3,1,2,1,2,2,3,1,3,2,1,2,1,2,3,2,3,2,1,2,3,2,3,2
235,235,3,2,3,2,2,2,2,2,1,2,2,2,1,2,1,2,1,2,3,2,2,2,3,2,1,2,3,2
236,236,3,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,1,2,3,2,2,2,2,2,3,2,3,2
237,237,3,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,1,2,3,2,3,2
238,238,3,2,2,2,2,2,1,2,3,2,1,2,3,2,1,2,2,2,3,2,1,2,1,2,3,2,2,2
243,243,3,2,3,2,2,2,2,2,1,2,2,2,1,2,1,2,1,2,2,2,3,1,1,1,2,2,1,1
256,256,3,2,2,2,2,2,1,2,1,2,2,2,3,2,1,2,2,2,1,2,3,2,2,2,2,2,3,2
260,260,3,2,3,2,1,2,3,2,2,2,1,2,2,2,3,1,1,2,2,2,3,2,2,2,3,1,3,2
274,274,1,2,3,2,1,2,3,2,2,2,3,2,3,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2
279,279,3,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,3,2,1,2,2,2
280,280,2,2,3,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,3,2,2,2,1,2,2,2,2,2
281,281,3,1,2,2,3,2,1,2,1,2,2,2,3,2,2,2,1,1,3,2,3,2,2,2,1,2,3,2
282,282,3,2,2,2,3,2,3,2,2,2,1,2,2,2,3,2,1,2,1,2,1,2,2,2,3,2,3,2
283,283,1,1,1,1,3,1,3,1,2,1,3,1,2,1,1,1,3,1,1,1,2,1,2,1,3,1,2,1
285,285,1,1,3,2,3,1,2,1,1,1,1,1,3,2,1,1,3,2,1,1,1,1,1,1,1,1,2,1
286,286,3,2,2,2,1,2,3,2,2,2,2,2,1,2,2,2,3,2,2,2,3,2,1,1,2,2,1,2
287,287,3,2,2,2,2,2,3,2,2,2,2,2,3,2,1,2,1,2,1,2,3,2,1,2,1,2,3,2
288,288,1,2,3,2,3,2,3,2,2,2,1,2,3,2,3,2,3,2,1,2,1,2,3,2,2,2,1,2
289,289,2,2,2,2,2,2,3,2,3,2,1,2,1,2,3,2,3,2,3,2,3,2,1,2,3,2,3,2
290,290,1,2,3,2,2,1,1,1,3,1,2,1,3,1,3,2,1,1,2,2,1,2,2,1,1,1,3,2
292,292,3,2,2,2,3,2,3,2,3,2,1,2,3,2,1,2,3,2,2,2,3,2,1,2,1,2,2,2
293,293,3,1,2,2,2,1,3,1,3,1,2,1,2,1,3,1,1,1,2,1,1,2,2,2,2,1,3,1
294,294,2,1,2,1,1,1,1,1,3,1,3,1,1,1,2,1,2,1,3,1,2,1,2,1,3,1,2,1
295,295,3,2,2,2,2,2,1,2,3,2,1,2,1,2,3,2,2,2,2,2,3,2,2,2,3,2,3,2
296,296,3,2,2,2,1,2,3,2,2,2,1,2,1,2,3,2,2,2,2,2,3,2,2,2,3,2,1,2
297,297,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,2,2,1,2,2,2,2,2
298,298,2,2,2,2,3,2,2,2,1,2,2,2,1,2,2,2,3,2,3,2,3,2,3,2,2,2,2,2
300,300,3,1,3,2,1,2,2,2,3,2,1,2,3,2,2,2,3,2,3,2,1,2,2,2,3,2,3,2
302,2,2,1,2,1,1,1,2,2,3,1,3,1,1,2,3,1,2,1,2,1,3,1,2,1,1,1,3,2
304,4,3,1,2,1,2,1,3,1,2,1,2,1,1,1,2,1,1,1,1,1,3,1,3,1,3,1,3,1
306,6,1,1,3,2,3,1,3,2,2,1,1,2,3,1,2,1,1,2,2,2,3,1,3,2,2,2,1,2
308,8,2,2,3,2,2,2,2,2,2,1,3,2,2,2,3,1,2,1,2,1,1,2,3,1,2,2,1,1
309,9,3,1,3,2,1,1,1,2,1,2,3,1,2,1,1,2,2,1,3,1,1,1,3,2,3,2,3,1
310,10,1,2,3,2,3,2,1,2,2,2,3,2,2,2,2,2,2,2,3,2,1,2,3,2,3,2,1,2
311,11,1,2,2,2,2,2,1,2,2,2,3,2,3,1,2,2,1,2,1,2,2,2,1,2,2,2,3,1
312,12,2,2,2,2,2,2,1,2,3,2,2,2,2,2,1,2,3,2,2,2,2,2,1,2,3,2,2,2
313,13,3,2,2,2,3,2,2,2,2,2,1,2,3,2,1,2,3,2,2,2,1,2,3,2,1,2,1,2
314,14,2,2,2,2,1,2,1,2,1,2,1,2,1,2,2,2,3,2,1,2,1,2,1,2,1,2,1,2
317,17,3,1,2,2,2,1,1,1,3,1,2,1,3,2,1,2,2,2,1,2,1,2,2,2,2,1,3,2
318,18,3,2,2,2,2,2,3,2,1,2,2,2,3,2,3,2,2,2,1,2,2,2,3,2,2,2,2,2
326,26,3,2,2,2,2,2,1,2,1,2,3,2,3,2,2,2,3,2,1,2,3,2,1,2,3,2,3,2
331,31,2,1,1,1,2,1,2,1,3,1,3,1,3,1,1,1,2,1,2,1,1,1,1,2,2,2,3,1
334,34,3,1,2,1,3,1,3,1,1,1,2,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,1,1
335,35,3,1,1,2,2,2,3,2,1,2,3,2,3,2,1,2,2,2,1,2,2,2,2,2,3,2,3,2
336,36,3,2,2,2,2,2,1,2,3,2,3,2,3,2,2,2,2,2,3,2,1,2,2,2,1,2,2,2
339,39,2,2,1,2,3,2,3,2,2,2,1,1,3,2,2,1,3,2,3,2,3,2,1,2,2,2,2,2
341,41,2,1,2,2,3,1,1,1,3,1,1,1,1,1,2,2,2,2,2,1,1,2,1,2,3,1,3,1
342,42,1,2,2,2,3,2,3,2,3,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2
343,43,3,1,2,1,3,1,2,1,1,1,3,1,1,1,1,1,3,1,2,1,1,1,1,1,2,2,3,1
345,45,1,2,2,2,3,2,1,2,3,2,3,2,1,2,1,2,1,2,1,2,3,2,3,2,1,2,1,2
